year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
1920,0.6312422636103152,0.515750143266476,238092.9971346705,0.41869957020057297,0.35421854404011477,0.2160492836676219,-12.654020057306598,0.0829836676217765,113.22689971346703,0.49821002865329533,0.6103151862464183,2,1
1921,0.8621051282051285,0.432170512820513,257891.7628205128,0.2411363461538462,0.33715828737179476,0.2052185897435897,-16.811660256410242,0.07895192307692306,102.42539743589741,0.37827564102564093,0.391025641025641,2,1
1922,0.8289338842975207,0.5756198347107437,140135.14049586776,0.22617264462809922,0.25477550206611577,0.25666198347107444,-20.84008264462809,0.46436776859504136,100.03314876033059,0.5711900826446279,0.09090909090909091,5,1
1923,0.9572467913513517,0.5773405405405401,177942.36216216217,0.2624064864864865,0.3717327250270269,0.22746216216216206,-14.129210810810811,0.09394864864864867,114.01072972972973,0.6254924324324328,5.205405405405405,0,1
1924,0.9401998601694928,0.5498940677966102,191046.70762711865,0.3443466101694912,0.5817009136440676,0.23521906779661,-14.231343220338985,0.092089406779661,120.68957203389823,0.6637254237288138,0.6610169491525424,10,1
1925,0.962701648745521,0.5748745519713262,184777.62365591398,0.2780860215053763,0.4201959369892471,0.2372068100358422,-14.165354838709673,0.11166845878136207,115.47983154121863,0.6211870967741934,2.6702508960573477,5,1
1926,0.6663868848758487,0.5969149736644092,157836.34988713317,0.21050642588412327,0.33609341770504125,0.2320212942061703,-18.48742287434162,0.4779189616252817,109.57097215951842,0.4370937622272383,1.436418359668924,9,1
1927,0.9158258200000028,0.6559293333333329,176542.812,0.26790213333333335,0.32099203556,0.17738653333333335,-15.235275999999976,0.26191533333333306,112.66370666666654,0.6696757333333335,0.684,1,1
1928,0.9391407145098026,0.5349066666666661,214396.03215686276,0.2088558196078431,0.4909548132156862,0.17465733333333328,-17.13142352941175,0.15864533333333336,106.74906196078446,0.49741231372549016,1.4533333333333334,1,1
1929,0.6010148370136718,0.6478398527865401,168795.60988433228,0.24190778128285972,0.2154050868243956,0.2359770767613036,-16.533055730809654,0.4904637223974763,110.92671083070452,0.6368048370136701,0.31440588853838064,7,1
1930,0.9356248883881173,0.5197101802757159,194691.10286320254,0.33485984093319204,0.35186930079003176,0.22063483563096506,-12.823486744432675,0.12019793213149518,109.9247884411452,0.6160890774125142,0.8510074231177094,5,1
1931,0.8331824380165301,0.5948927685950423,171564.24483471076,0.23473644938016547,0.22192114648760364,0.22724628099173552,-16.509507231404942,0.4527522727272729,108.97437809917368,0.5128472107438018,0.22107438016528927,0,1
1932,0.7733629156010245,0.6022140664961636,174763.5230179028,0.27836227621483395,0.15546704255754482,0.21875447570332496,-16.459603580562646,0.41988734015345264,110.47795268542204,0.5988533248081837,1.7838874680306904,1,1
1933,0.8908802495726501,0.5700692307692304,196407.0811965812,0.2867542735042735,0.18238781868945858,0.20972108262108252,-12.972915954415965,0.09092806267806268,112.59650427350425,0.5986485754985753,6.873219373219373,7,1
1934,0.888513707216495,0.529168384879725,189385.65120274914,0.2635702749140894,0.27616513938144366,0.21272680412371134,-14.755116838487972,0.10207130584192432,115.40552920962193,0.558806013745705,1.309278350515464,0,1
1935,0.7794678283151818,0.554997053171045,221102.22421524665,0.24662291479820622,0.22365544707238946,0.2296258167841127,-15.405760409993599,0.3550445227418322,110.72258744394634,0.5445181934657274,1.3721973094170403,7,1
1936,0.6019832632999995,0.6233780500000001,172978.595,0.2640076749500002,0.11850880667999991,0.21355614999999972,-19.123150000000006,0.6271309499999987,108.39304699999988,0.5612937999999996,2.6635,1,1
1937,0.8655405612708025,0.5426403933434191,223035.1921331316,0.31051245083207246,0.3286776088048414,0.22534009077155823,-13.120916792738273,0.08578350983358546,115.16774281391821,0.5850388804841145,3.281391830559758,7,1
1938,0.9136303530546632,0.48051045016077204,247940.72186495177,0.2812483922829584,0.37636335974276536,0.2360196141479098,-14.307977491961415,0.09528697749196152,111.64432475884244,0.5146599839228292,2.072347266881029,0,1
1939,0.9090123100000007,0.5136558000000002,220997.613,0.2848278000000002,0.28158795441000023,0.24085729999999994,-13.847035000000005,0.12867819999999994,113.32418199999996,0.5612246999999995,4.096,0,1
1940,0.8465204781704744,0.5254509875259874,181590.275987526,0.3122784251559252,0.32291329170997907,0.26248019750519774,-13.612398648648659,0.2457615384615385,108.87211070686068,0.622196382536383,0.8503118503118503,7,1
1941,0.8946919855222363,0.48107456049638153,201647.84281282316,0.2654865253360909,0.4427099635367114,0.20159855222337106,-15.728245087900715,0.09181220268872828,107.84667114788003,0.4806512926577037,1.2771458117890382,7,1
1942,0.8536987646363056,0.4650137196924897,222156.54642223538,0.2554481194559435,0.39384954910703673,0.21241129509166137,-15.029963926670622,0.08398143110585449,106.005413956239,0.47811454760496863,1.1324659964518036,7,1
1943,0.9030772355742331,0.4550971988795515,239661.58963585435,0.27989065826330534,0.4100970037254907,0.23984957983193309,-13.602957983193289,0.10559019607843138,106.17102801120453,0.4953791316526606,1.0742296918767507,5,1
1944,0.9082415045395609,0.5025696498054477,244107.42282749675,0.2526620881971467,0.4509160582230864,0.23688858625162118,-14.56026977950712,0.17254306095979233,105.92034241245135,0.5419750972762646,2.9299610894941632,10,1
1945,0.7113860130000009,0.5178561500000012,195720.2665,0.22541257050000008,0.2749280698699996,0.2033342000000001,-16.927997499999986,0.3017135499999997,108.25691699999986,0.49141630000000003,2.093,0,1
1946,0.9206274223245067,0.41514108170310676,266923.7186421174,0.22236073647871105,0.48673598736478646,0.21050316455696222,-16.89752876869964,0.0885256041426929,103.12142577675488,0.4007510932105872,1.6599539700805523,7,1
1947,0.9156553832938353,0.47210390995260715,232131.8827014218,0.26295517772511867,0.3512090884182467,0.22344502369668234,-14.414843601895752,0.10022861374407585,108.97288329383876,0.5091807464454978,1.6421800947867298,0,1
1948,0.9229491499999952,0.4627362500000003,200208.082,0.2414835490000002,0.3618871379399996,0.2187986499999996,-15.51719899999999,0.16078170000000028,107.68421149999982,0.46221065000000033,1.4295,0,1
1949,0.9070877949999955,0.4440308999999995,223351.576,0.24721401499999962,0.29875868940499956,0.2095805000000004,-15.490746999999995,0.10339205000000004,108.87556349999996,0.43433360000000026,3.771,0,1
1950,0.8228144005999973,0.5290370500000003,208073.6155,0.30353605000000045,0.2116878559149997,0.22493150000000023,-14.400895999999975,0.2504793500000001,110.50021199999986,0.5570353999999995,3.86,7,1
