STATE,STATENAME,ST_CASE,VEH_NO,MDRDSTRD,MDRDSTRDNAME
26,Michigan,260590,1,0,Not Distracted
26,Michigan,260590,2,92,"Distraction (Distracted), Details Unknown"
26,Michigan,260591,1,99,Reported as Unknown if Distracted
26,Michigan,260592,1,99,Reported as Unknown if Distracted
26,Michigan,260593,1,99,Reported as Unknown if Distracted
26,Michigan,260594,1,99,Reported as Unknown if Distracted
26,Michigan,260594,2,0,Not Distracted
26,Michigan,260595,1,99,Reported as Unknown if Distracted
26,Michigan,260595,2,0,Not Distracted
26,Michigan,260596,1,99,Reported as Unknown if Distracted
26,Michigan,260597,1,92,"Distraction (Distracted), Details Unknown"
26,Michigan,260597,2,99,Reported as Unknown if Distracted
26,Michigan,260597,3,0,Not Distracted
26,Michigan,260598,1,99,Reported as Unknown if Distracted
26,Michigan,260599,1,99,Reported as Unknown if Distracted
26,Michigan,260599,2,99,Reported as Unknown if Distracted
26,Michigan,260600,1,99,Reported as Unknown if Distracted
26,Michigan,260601,1,99,Reported as Unknown if Distracted
26,Michigan,260602,1,99,Reported as Unknown if Distracted
26,Michigan,260602,2,99,Reported as Unknown if Distracted
26,Michigan,260603,1,0,Not Distracted
26,Michigan,260603,2,99,Reported as Unknown if Distracted
26,Michigan,260604,1,99,Reported as Unknown if Distracted
26,Michigan,260604,2,0,Not Distracted
26,Michigan,260605,1,99,Reported as Unknown if Distracted
26,Michigan,260605,2,0,Not Distracted
26,Michigan,260605,3,0,Not Distracted
26,Michigan,260606,1,99,Reported as Unknown if Distracted
26,Michigan,260607,1,99,Reported as Unknown if Distracted
26,Michigan,260607,2,0,Not Distracted
26,Michigan,260608,1,99,Reported as Unknown if Distracted
26,Michigan,260609,1,0,Not Distracted
26,Michigan,260610,1,0,Not Distracted
26,Michigan,260611,1,99,Reported as Unknown if Distracted
26,Michigan,260612,1,99,Reported as Unknown if Distracted
26,Michigan,260613,1,99,Reported as Unknown if Distracted
26,Michigan,260614,1,0,Not Distracted
26,Michigan,260614,2,3,By Other Occupant(s)
26,Michigan,260615,1,99,Reported as Unknown if Distracted
26,Michigan,260615,2,12,"Distracted by Outside Person, Object or Event"
26,Michigan,260615,3,99,Reported as Unknown if Distracted
26,Michigan,260616,1,99,Reported as Unknown if Distracted
26,Michigan,260616,2,0,Not Distracted
26,Michigan,260617,1,99,Reported as Unknown if Distracted
26,Michigan,260618,1,0,Not Distracted
26,Michigan,260619,1,0,Not Distracted
26,Michigan,260619,2,0,Not Distracted
26,Michigan,260620,1,99,Reported as Unknown if Distracted
26,Michigan,260620,2,0,Not Distracted
26,Michigan,260621,1,0,Not Distracted
26,Michigan,260621,2,16,No Driver Present/Unknown if Driver present
26,Michigan,260622,1,0,Not Distracted
26,Michigan,260623,1,99,Reported as Unknown if Distracted
26,Michigan,260624,1,0,Not Distracted
26,Michigan,260624,2,0,Not Distracted
26,Michigan,260624,3,99,Reported as Unknown if Distracted
26,Michigan,260625,1,99,Reported as Unknown if Distracted
26,Michigan,260626,1,99,Reported as Unknown if Distracted
26,Michigan,260626,2,0,Not Distracted
26,Michigan,260627,1,0,Not Distracted
26,Michigan,260627,2,0,Not Distracted
26,Michigan,260628,1,99,Reported as Unknown if Distracted
26,Michigan,260629,1,0,Not Distracted
26,Michigan,260629,2,0,Not Distracted
26,Michigan,260630,1,0,Not Distracted
26,Michigan,260630,2,0,Not Distracted
26,Michigan,260631,1,0,Not Distracted
26,Michigan,260632,1,99,Reported as Unknown if Distracted
26,Michigan,260632,2,99,Reported as Unknown if Distracted
26,Michigan,260633,1,99,Reported as Unknown if Distracted
26,Michigan,260634,1,99,Reported as Unknown if Distracted
26,Michigan,260634,2,0,Not Distracted
26,Michigan,260635,1,6,While Manipulating Mobile Phone
26,Michigan,260635,2,99,Reported as Unknown if Distracted
26,Michigan,260636,1,99,Reported as Unknown if Distracted
26,Michigan,260637,1,99,Reported as Unknown if Distracted
26,Michigan,260637,2,0,Not Distracted
26,Michigan,260637,3,0,Not Distracted
26,Michigan,260637,4,0,Not Distracted
26,Michigan,260637,5,0,Not Distracted
26,Michigan,260637,6,0,Not Distracted
26,Michigan,260638,1,99,Reported as Unknown if Distracted
26,Michigan,260639,1,99,Reported as Unknown if Distracted
26,Michigan,260640,1,0,Not Distracted
26,Michigan,260641,1,99,Reported as Unknown if Distracted
26,Michigan,260642,1,99,Reported as Unknown if Distracted
26,Michigan,260643,1,99,Reported as Unknown if Distracted
26,Michigan,260644,1,99,Reported as Unknown if Distracted
26,Michigan,260644,2,0,Not Distracted
26,Michigan,260645,1,99,Reported as Unknown if Distracted
26,Michigan,260646,1,99,Reported as Unknown if Distracted
26,Michigan,260647,1,0,Not Distracted
26,Michigan,260648,1,99,Reported as Unknown if Distracted
26,Michigan,260648,2,0,Not Distracted
26,Michigan,260649,1,0,Not Distracted
26,Michigan,260649,2,99,Reported as Unknown if Distracted
26,Michigan,260650,1,99,Reported as Unknown if Distracted
26,Michigan,260651,1,99,Reported as Unknown if Distracted
26,Michigan,260652,1,99,Reported as Unknown if Distracted
26,Michigan,260652,2,0,Not Distracted
26,Michigan,260653,1,99,Reported as Unknown if Distracted
26,Michigan,260654,1,99,Reported as Unknown if Distracted
26,Michigan,260655,1,0,Not Distracted
26,Michigan,260655,2,0,Not Distracted
26,Michigan,260656,1,99,Reported as Unknown if Distracted
26,Michigan,260657,1,3,By Other Occupant(s)
26,Michigan,260658,1,99,Reported as Unknown if Distracted
26,Michigan,260658,2,0,Not Distracted
26,Michigan,260659,1,99,Reported as Unknown if Distracted
26,Michigan,260659,2,0,Not Distracted
26,Michigan,260659,3,0,Not Distracted
26,Michigan,260660,1,0,Not Distracted
26,Michigan,260661,1,99,Reported as Unknown if Distracted
26,Michigan,260661,2,99,Reported as Unknown if Distracted
26,Michigan,260662,1,0,Not Distracted
26,Michigan,260663,1,99,Reported as Unknown if Distracted
26,Michigan,260664,1,99,Reported as Unknown if Distracted
26,Michigan,260664,2,99,Reported as Unknown if Distracted
26,Michigan,260665,1,99,Reported as Unknown if Distracted
26,Michigan,260666,1,99,Reported as Unknown if Distracted
26,Michigan,260667,1,99,Reported as Unknown if Distracted
26,Michigan,260668,1,0,Not Distracted
26,Michigan,260669,1,92,"Distraction (Distracted), Details Unknown"
26,Michigan,260670,1,99,Reported as Unknown if Distracted
26,Michigan,260670,2,0,Not Distracted
26,Michigan,260671,1,99,Reported as Unknown if Distracted
26,Michigan,260672,1,0,Not Distracted
26,Michigan,260672,2,0,Not Distracted
26,Michigan,260673,1,0,Not Distracted
26,Michigan,260674,1,99,Reported as Unknown if Distracted
26,Michigan,260675,1,0,Not Distracted
26,Michigan,260675,2,99,Reported as Unknown if Distracted
26,Michigan,260676,1,99,Reported as Unknown if Distracted
26,Michigan,260676,2,99,Reported as Unknown if Distracted
26,Michigan,260677,1,99,Reported as Unknown if Distracted
26,Michigan,260677,2,0,Not Distracted
26,Michigan,260678,1,99,Reported as Unknown if Distracted
26,Michigan,260678,2,0,Not Distracted
26,Michigan,260678,3,0,Not Distracted
26,Michigan,260679,1,0,Not Distracted
26,Michigan,260680,1,99,Reported as Unknown if Distracted
26,Michigan,260681,1,99,Reported as Unknown if Distracted
26,Michigan,260682,1,99,Reported as Unknown if Distracted
26,Michigan,260683,1,0,Not Distracted
26,Michigan,260683,2,0,Not Distracted
26,Michigan,260683,3,99,Reported as Unknown if Distracted
26,Michigan,260684,1,99,Reported as Unknown if Distracted
26,Michigan,260685,1,12,"Distracted by Outside Person, Object or Event"
26,Michigan,260685,2,99,Reported as Unknown if Distracted
26,Michigan,260686,1,0,Not Distracted
26,Michigan,260687,1,0,Not Distracted
26,Michigan,260688,1,99,Reported as Unknown if Distracted
26,Michigan,260689,1,99,Reported as Unknown if Distracted
26,Michigan,260689,2,0,Not Distracted
26,Michigan,260690,1,0,Not Distracted
26,Michigan,260690,2,0,Not Distracted
26,Michigan,260691,1,3,By Other Occupant(s)
26,Michigan,260692,1,0,Not Distracted
26,Michigan,260693,1,99,Reported as Unknown if Distracted
26,Michigan,260694,1,99,Reported as Unknown if Distracted
26,Michigan,260694,2,0,Not Distracted
26,Michigan,260695,1,99,Reported as Unknown if Distracted
26,Michigan,260695,2,0,Not Distracted
26,Michigan,260696,1,14,Smoking Related
26,Michigan,260696,2,0,Not Distracted
26,Michigan,260697,1,99,Reported as Unknown if Distracted
26,Michigan,260698,1,99,Reported as Unknown if Distracted
26,Michigan,260698,2,0,Not Distracted
26,Michigan,260699,1,99,Reported as Unknown if Distracted
26,Michigan,260699,2,0,Not Distracted
26,Michigan,260700,1,99,Reported as Unknown if Distracted
26,Michigan,260701,1,99,Reported as Unknown if Distracted
26,Michigan,260701,2,99,Reported as Unknown if Distracted
26,Michigan,260702,1,0,Not Distracted
26,Michigan,260702,2,0,Not Distracted
26,Michigan,260703,1,99,Reported as Unknown if Distracted
26,Michigan,260703,2,99,Reported as Unknown if Distracted
26,Michigan,260704,1,99,Reported as Unknown if Distracted
26,Michigan,260704,2,0,Not Distracted
26,Michigan,260705,1,6,While Manipulating Mobile Phone
26,Michigan,260706,1,0,Not Distracted
26,Michigan,260706,2,99,Reported as Unknown if Distracted
26,Michigan,260707,1,5,While Talking or Listening to Mobile Phone
26,Michigan,260708,1,0,Not Distracted
26,Michigan,260708,2,0,Not Distracted
26,Michigan,260709,1,0,Not Distracted
26,Michigan,260710,1,99,Reported as Unknown if Distracted
26,Michigan,260710,2,0,Not Distracted
26,Michigan,260711,1,99,Reported as Unknown if Distracted
26,Michigan,260711,2,0,Not Distracted
26,Michigan,260712,1,9,While Using Other Component/Controls Integral to Vehicle
26,Michigan,260713,1,0,Not Distracted
26,Michigan,260713,2,0,Not Distracted
26,Michigan,260714,1,0,Not Distracted
26,Michigan,260715,1,99,Reported as Unknown if Distracted
26,Michigan,260716,1,0,Not Distracted
26,Michigan,260717,1,99,Reported as Unknown if Distracted
26,Michigan,260717,2,0,Not Distracted
26,Michigan,260718,1,99,Reported as Unknown if Distracted
26,Michigan,260718,2,0,Not Distracted
26,Michigan,260719,1,0,Not Distracted
26,Michigan,260720,1,0,Not Distracted
26,Michigan,260720,2,99,Reported as Unknown if Distracted
26,Michigan,260721,1,99,Reported as Unknown if Distracted
26,Michigan,260722,1,99,Reported as Unknown if Distracted
26,Michigan,260723,1,99,Reported as Unknown if Distracted
26,Michigan,260723,2,99,Reported as Unknown if Distracted
26,Michigan,260724,1,0,Not Distracted
26,Michigan,260724,2,0,Not Distracted
26,Michigan,260725,1,99,Reported as Unknown if Distracted
26,Michigan,260726,1,99,Reported as Unknown if Distracted
26,Michigan,260726,2,0,Not Distracted
26,Michigan,260727,1,0,Not Distracted
26,Michigan,260728,1,99,Reported as Unknown if Distracted
26,Michigan,260729,1,0,Not Distracted
26,Michigan,260729,2,0,Not Distracted
26,Michigan,260730,1,0,Not Distracted
26,Michigan,260731,1,99,Reported as Unknown if Distracted
26,Michigan,260731,2,99,Reported as Unknown if Distracted
26,Michigan,260732,1,99,Reported as Unknown if Distracted
26,Michigan,260733,1,0,Not Distracted
26,Michigan,260734,1,99,Reported as Unknown if Distracted
26,Michigan,260734,2,99,Reported as Unknown if Distracted
26,Michigan,260735,1,99,Reported as Unknown if Distracted
26,Michigan,260736,1,99,Reported as Unknown if Distracted
26,Michigan,260736,2,0,Not Distracted
26,Michigan,260736,3,0,Not Distracted
26,Michigan,260737,1,3,By Other Occupant(s)
26,Michigan,260737,2,0,Not Distracted
26,Michigan,260737,3,0,Not Distracted
26,Michigan,260738,1,0,Not Distracted
26,Michigan,260738,2,99,Reported as Unknown if Distracted
26,Michigan,260739,1,99,Reported as Unknown if Distracted
26,Michigan,260739,2,0,Not Distracted
26,Michigan,260740,1,99,Reported as Unknown if Distracted
26,Michigan,260741,1,99,Reported as Unknown if Distracted
26,Michigan,260741,2,99,Reported as Unknown if Distracted
26,Michigan,260742,1,4,By a Moving Object in Vehicle
26,Michigan,260742,2,99,Reported as Unknown if Distracted
26,Michigan,260743,1,99,Reported as Unknown if Distracted
26,Michigan,260744,1,99,Reported as Unknown if Distracted
26,Michigan,260745,1,99,Reported as Unknown if Distracted
26,Michigan,260745,2,99,Reported as Unknown if Distracted
26,Michigan,260746,1,99,Reported as Unknown if Distracted
26,Michigan,260746,2,0,Not Distracted
26,Michigan,260747,1,99,Reported as Unknown if Distracted
26,Michigan,260747,2,0,Not Distracted
26,Michigan,260748,1,99,Reported as Unknown if Distracted
26,Michigan,260748,2,99,Reported as Unknown if Distracted
26,Michigan,260749,1,99,Reported as Unknown if Distracted
26,Michigan,260749,2,0,Not Distracted
26,Michigan,260750,1,99,Reported as Unknown if Distracted
26,Michigan,260750,2,0,Not Distracted
26,Michigan,260751,1,99,Reported as Unknown if Distracted
26,Michigan,260751,2,99,Reported as Unknown if Distracted
26,Michigan,260751,3,99,Reported as Unknown if Distracted
26,Michigan,260752,1,99,Reported as Unknown if Distracted
26,Michigan,260752,2,0,Not Distracted
26,Michigan,260753,1,0,Not Distracted
26,Michigan,260753,2,0,Not Distracted
26,Michigan,260754,1,0,Not Distracted
26,Michigan,260755,1,0,Not Distracted
26,Michigan,260756,1,99,Reported as Unknown if Distracted
26,Michigan,260756,2,99,Reported as Unknown if Distracted
26,Michigan,260757,1,99,Reported as Unknown if Distracted
26,Michigan,260758,1,99,Reported as Unknown if Distracted
26,Michigan,260758,2,0,Not Distracted
26,Michigan,260759,1,5,While Talking or Listening to Mobile Phone
26,Michigan,260760,1,99,Reported as Unknown if Distracted
26,Michigan,260761,1,0,Not Distracted
26,Michigan,260761,2,92,"Distraction (Distracted), Details Unknown"
26,Michigan,260762,1,99,Reported as Unknown if Distracted
26,Michigan,260762,2,0,Not Distracted
26,Michigan,260763,1,12,"Distracted by Outside Person, Object or Event"
26,Michigan,260764,1,99,Reported as Unknown if Distracted
26,Michigan,260764,2,0,Not Distracted
26,Michigan,260765,1,99,Reported as Unknown if Distracted
26,Michigan,260765,2,0,Not Distracted
26,Michigan,260766,1,99,Reported as Unknown if Distracted
26,Michigan,260767,1,99,Reported as Unknown if Distracted
26,Michigan,260768,1,99,Reported as Unknown if Distracted
26,Michigan,260769,1,99,Reported as Unknown if Distracted
26,Michigan,260770,1,99,Reported as Unknown if Distracted
26,Michigan,260771,1,13,Eating or Drinking
26,Michigan,260772,1,99,Reported as Unknown if Distracted
26,Michigan,260773,1,0,Not Distracted
26,Michigan,260773,2,0,Not Distracted
26,Michigan,260773,3,0,Not Distracted
26,Michigan,260774,1,0,Not Distracted
26,Michigan,260775,1,10,While Using or Reaching for Device/Object Brought into Vehicle
26,Michigan,260775,2,0,Not Distracted
26,Michigan,260776,1,99,Reported as Unknown if Distracted
26,Michigan,260776,2,0,Not Distracted
26,Michigan,260777,1,99,Reported as Unknown if Distracted
26,Michigan,260778,1,99,Reported as Unknown if Distracted
26,Michigan,260779,1,0,Not Distracted
26,Michigan,260780,1,99,Reported as Unknown if Distracted
26,Michigan,260781,1,0,Not Distracted
26,Michigan,260781,2,0,Not Distracted
26,Michigan,260782,1,99,Reported as Unknown if Distracted
26,Michigan,260782,2,0,Not Distracted
26,Michigan,260783,1,99,Reported as Unknown if Distracted
26,Michigan,260784,1,99,Reported as Unknown if Distracted
26,Michigan,260785,1,99,Reported as Unknown if Distracted
26,Michigan,260786,1,0,Not Distracted
26,Michigan,260787,1,0,Not Distracted
26,Michigan,260787,2,0,Not Distracted
26,Michigan,260788,1,0,Not Distracted
26,Michigan,260788,2,0,Not Distracted
26,Michigan,260789,1,99,Reported as Unknown if Distracted
26,Michigan,260789,2,0,Not Distracted
26,Michigan,260790,1,99,Reported as Unknown if Distracted
26,Michigan,260790,2,0,Not Distracted
26,Michigan,260791,1,99,Reported as Unknown if Distracted
26,Michigan,260792,1,6,While Manipulating Mobile Phone
26,Michigan,260792,2,0,Not Distracted
26,Michigan,260793,1,0,Not Distracted
26,Michigan,260793,2,0,Not Distracted
26,Michigan,260794,1,0,Not Distracted
26,Michigan,260794,2,0,Not Distracted
26,Michigan,260795,1,0,Not Distracted
26,Michigan,260796,1,99,Reported as Unknown if Distracted
26,Michigan,260797,1,0,Not Distracted
26,Michigan,260798,1,0,Not Distracted
26,Michigan,260799,1,99,Reported as Unknown if Distracted
26,Michigan,260799,2,0,Not Distracted
26,Michigan,260800,1,99,Reported as Unknown if Distracted
26,Michigan,260800,2,0,Not Distracted
26,Michigan,260801,1,0,Not Distracted
26,Michigan,260802,1,99,Reported as Unknown if Distracted
26,Michigan,260802,2,0,Not Distracted
26,Michigan,260803,1,13,Eating or Drinking
26,Michigan,260803,2,99,Reported as Unknown if Distracted
26,Michigan,260804,1,0,Not Distracted
26,Michigan,260805,1,99,Reported as Unknown if Distracted
26,Michigan,260806,1,0,Not Distracted
26,Michigan,260807,1,99,Reported as Unknown if Distracted
26,Michigan,260807,2,0,Not Distracted
26,Michigan,260808,1,99,Reported as Unknown if Distracted
26,Michigan,260809,1,99,Reported as Unknown if Distracted
26,Michigan,260810,1,99,Reported as Unknown if Distracted
26,Michigan,260811,1,0,Not Distracted
26,Michigan,260811,2,0,Not Distracted
26,Michigan,260812,1,0,Not Distracted
26,Michigan,260813,1,99,Reported as Unknown if Distracted
26,Michigan,260813,2,0,Not Distracted
26,Michigan,260814,1,99,Reported as Unknown if Distracted
26,Michigan,260815,1,99,Reported as Unknown if Distracted
26,Michigan,260815,2,0,Not Distracted
26,Michigan,260816,1,99,Reported as Unknown if Distracted
26,Michigan,260817,1,99,Reported as Unknown if Distracted
26,Michigan,260817,2,0,Not Distracted
26,Michigan,260818,1,99,Reported as Unknown if Distracted
26,Michigan,260818,2,99,Reported as Unknown if Distracted
26,Michigan,260819,1,99,Reported as Unknown if Distracted
26,Michigan,260820,1,99,Reported as Unknown if Distracted
26,Michigan,260820,2,0,Not Distracted
26,Michigan,260821,1,99,Reported as Unknown if Distracted
26,Michigan,260821,2,0,Not Distracted
26,Michigan,260822,1,99,Reported as Unknown if Distracted
26,Michigan,260823,1,0,Not Distracted
26,Michigan,260823,2,0,Not Distracted
26,Michigan,260824,1,0,Not Distracted
26,Michigan,260825,1,99,Reported as Unknown if Distracted
26,Michigan,260825,2,0,Not Distracted
26,Michigan,260826,1,0,Not Distracted
26,Michigan,260826,2,99,Reported as Unknown if Distracted
26,Michigan,260827,1,99,Reported as Unknown if Distracted
26,Michigan,260827,2,0,Not Distracted
26,Michigan,260828,1,99,Reported as Unknown if Distracted
26,Michigan,260828,2,0,Not Distracted
26,Michigan,260829,1,99,Reported as Unknown if Distracted
26,Michigan,260830,1,0,Not Distracted
26,Michigan,260830,2,0,Not Distracted
26,Michigan,260830,3,0,Not Distracted
26,Michigan,260831,1,99,Reported as Unknown if Distracted
26,Michigan,260831,2,0,Not Distracted
26,Michigan,260831,3,99,Reported as Unknown if Distracted
26,Michigan,260832,1,0,Not Distracted
26,Michigan,260833,1,0,Not Distracted
26,Michigan,260833,2,0,Not Distracted
26,Michigan,260834,1,0,Not Distracted
26,Michigan,260834,3,92,"Distraction (Distracted), Details Unknown"
26,Michigan,260835,1,99,Reported as Unknown if Distracted
26,Michigan,260835,2,0,Not Distracted
26,Michigan,260835,3,0,Not Distracted
26,Michigan,260836,1,99,Reported as Unknown if Distracted
26,Michigan,260836,2,0,Not Distracted
26,Michigan,260837,1,99,Reported as Unknown if Distracted
26,Michigan,260838,1,99,Reported as Unknown if Distracted
26,Michigan,260838,2,99,Reported as Unknown if Distracted
26,Michigan,260839,1,99,Reported as Unknown if Distracted
26,Michigan,260840,1,0,Not Distracted
26,Michigan,260840,2,0,Not Distracted
26,Michigan,260841,1,0,Not Distracted
26,Michigan,260842,1,99,Reported as Unknown if Distracted
26,Michigan,260843,1,0,Not Distracted
26,Michigan,260844,1,99,Reported as Unknown if Distracted
26,Michigan,260844,2,99,Reported as Unknown if Distracted
26,Michigan,260844,3,0,Not Distracted
26,Michigan,260844,4,0,Not Distracted
26,Michigan,260845,1,12,"Distracted by Outside Person, Object or Event"
26,Michigan,260846,1,99,Reported as Unknown if Distracted
26,Michigan,260846,2,99,Reported as Unknown if Distracted
26,Michigan,260846,3,0,Not Distracted
26,Michigan,260847,1,13,Eating or Drinking
26,Michigan,260848,1,0,Not Distracted
26,Michigan,260849,1,99,Reported as Unknown if Distracted
26,Michigan,260850,1,99,Reported as Unknown if Distracted
26,Michigan,260850,2,99,Reported as Unknown if Distracted
26,Michigan,260851,1,99,Reported as Unknown if Distracted
26,Michigan,260852,1,99,Reported as Unknown if Distracted
26,Michigan,260852,2,0,Not Distracted
26,Michigan,260853,1,0,Not Distracted
26,Michigan,260854,1,0,Not Distracted
26,Michigan,260854,2,99,Reported as Unknown if Distracted
26,Michigan,260855,1,99,Reported as Unknown if Distracted
26,Michigan,260856,1,99,Reported as Unknown if Distracted
26,Michigan,260857,1,99,Reported as Unknown if Distracted
26,Michigan,260857,2,0,Not Distracted
26,Michigan,260858,1,99,Reported as Unknown if Distracted
26,Michigan,260858,2,0,Not Distracted
26,Michigan,260859,1,0,Not Distracted
26,Michigan,260860,1,99,Reported as Unknown if Distracted
26,Michigan,260861,1,99,Reported as Unknown if Distracted
26,Michigan,260862,1,99,Reported as Unknown if Distracted
26,Michigan,260862,2,0,Not Distracted
26,Michigan,260863,1,99,Reported as Unknown if Distracted
26,Michigan,260863,2,99,Reported as Unknown if Distracted
26,Michigan,260864,1,99,Reported as Unknown if Distracted
